k,train_accuracy,test_accuracy,cv_accuracy_mean,cv_accuracy_std,precision,recall,f1
1,1.0,0.9296827641947868,0.9277017039613084,0.0018175722481868144,0.6450980392156863,0.6633064516129032,0.6540755467196819
3,0.9629161824887587,0.9351384118003637,0.9306826630363959,0.00306529461377849,0.6914660831509847,0.6370967741935484,0.6631689401888772
5,0.9534178750063154,0.9304910082845019,0.929924819342679,0.0024232776378846684,0.6800947867298578,0.5786290322580645,0.6252723311546841
7,0.947304602637296,0.928672459082643,0.9266408682936429,0.004174753523378556,0.6906666666666667,0.5221774193548387,0.5947187141216992
11,0.9375031576820088,0.9264497878359265,0.9168393542655064,0.004187130870982952,0.7481203007518797,0.4012096774193548,0.5223097112860893
