virality_percentile,virality_threshold,imbalance_strategy,balance_n_not_viral,balance_n_viral,balance_viral_pct,balance_imbalance_ratio,train_size_after_resample,train_viral_pct_after_resample,decision_threshold_default,decision_threshold_tuned,val_f1_default,val_f1_tuned,test_accuracy_default,test_balanced_accuracy_default,test_precision_default,test_recall_default,test_f1_default,test_roc_auc_default,test_accuracy_tuned,test_balanced_accuracy_tuned,test_precision_tuned,test_recall_tuned,test_f1_tuned,test_roc_auc_tuned
0.8,0.1483337502705407,baseline,19793,4949,0.20002425026271117,3.999393816932714,14844,0.20001347345728915,0.5,0.35000000000000003,0.6706783369803063,0.6863613983259478,0.8759345322287331,0.7766341107462603,0.7254196642685852,0.6111111111111112,0.6633771929824561,0.8604560380261315,0.8654273590624368,0.795443446845316,0.6588235294117647,0.6787878787878788,0.6686567164179105,0.8604560380261315
0.8,0.1483337502705407,oversample,19793,4949,0.20002425026271117,3.999393816932714,23750,0.5,0.5,0.55,0.6735798016230838,0.6754545454545454,0.8484542331784198,0.8102113583421995,0.5969305331179321,0.7464646464646465,0.6633752244165171,0.8488204857363736,0.8498686603354213,0.8061715921529005,0.6024896265560166,0.7333333333333333,0.661503416856492,0.8488204857363736
0.8,0.1483337502705407,undersample,19793,4949,0.20002425026271117,3.999393816932714,8907,0.3333333333333333,0.5,0.45,0.6723565670934092,0.6756882874475035,0.8571428571428571,0.8107181948303444,0.621043627031651,0.7333333333333333,0.6725335803612784,0.8789616294289193,0.8545160638512831,0.8128639259480381,0.6123128119800333,0.7434343434343434,0.6715328467153284,0.8789616294289193
0.8,0.1483337502705407,smote,19793,4949,0.20002425026271117,3.999393816932714,23750,0.5,0.5,0.55,0.6693730266125395,0.6730331969076853,0.8476459890887048,0.8093274242806954,0.5951612903225807,0.7454545454545455,0.6618834080717488,0.8591497189628031,0.8494645382905638,0.8070552710739627,0.6009892827699918,0.7363636363636363,0.6618247843849296,0.8591497189628031
0.85,0.1785533910533908,baseline,21030,3712,0.15002829197316303,5.665409482758621,14844,0.15002694691457827,0.5,0.35000000000000003,0.6175807663410969,0.6282722513089005,0.900990099009901,0.7636071507056972,0.7135593220338983,0.5673854447439353,0.6321321321321322,0.8569320673988994,0.8912911699333199,0.7906476627005306,0.6349206349206349,0.6469002695417789,0.6408544726301736,0.8569320673988994
0.85,0.1785533910533908,oversample,21030,3712,0.15002829197316303,5.665409482758621,25234,0.5,0.5,0.4,0.6142191142191142,0.6158290005777007,0.8765407152960194,0.8069468675298581,0.5712731229597389,0.7075471698113207,0.6321493076459964,0.8476437038256737,0.8733077389371591,0.8078202995008319,0.5608465608465608,0.7142857142857143,0.6283343212803794,0.8476437038256737
0.85,0.1785533910533908,undersample,21030,3712,0.15002829197316303,5.665409482758621,6681,0.3333333333333333,0.5,0.5,0.6023688663282571,0.6023688663282571,0.8642149929278642,0.8091321292903562,0.534516765285996,0.7304582210242587,0.6173120728929385,0.8792291694563739,0.8642149929278642,0.8091321292903562,0.534516765285996,0.7304582210242587,0.6173120728929385,0.8792291694563739
0.85,0.1785533910533908,smote,21030,3712,0.15002829197316303,5.665409482758621,25234,0.5,0.5,0.6000000000000001,0.6143497757847534,0.6175438596491228,0.8698727015558698,0.815789945777702,0.5490981963927856,0.738544474393531,0.6298850574712643,0.8663139729253707,0.8763386542735906,0.8134880769248019,0.5688559322033898,0.7237196765498652,0.6370106761565836,0.8663139729253707
0.9,0.2235294117647059,baseline,22264,2478,0.10015358499717081,8.984665052461663,14844,0.10010778765831313,0.5,0.35000000000000003,0.5613207547169812,0.588957055214724,0.922408567387351,0.7230842472997544,0.6564245810055865,0.4737903225806452,0.550351288056206,0.8277244228247719,0.9157405536472014,0.7596890099461762,0.5821205821205822,0.5645161290322581,0.5731832139201638,0.8277244228247719
0.9,0.2235294117647059,oversample,22264,2478,0.10015358499717081,8.984665052461663,26716,0.5,0.5,0.6000000000000001,0.5701754385964912,0.5745454545454546,0.9005859769650434,0.781724263454141,0.5032051282051282,0.6330645161290323,0.5607142857142857,0.8225061665567974,0.9032127702566175,0.7742261469252334,0.5143824027072758,0.6129032258064516,0.5593376264949402,0.8225061665567974
0.9,0.2235294117647059,undersample,22264,2478,0.10015358499717081,8.984665052461663,4458,0.3333333333333333,0.5,0.7000000000000001,0.5200876552227903,0.5449101796407185,0.8739139220044453,0.8045255826083177,0.4238095238095238,0.717741935483871,0.5329341317365269,0.8771150565403534,0.904627197413619,0.7409724687235137,0.5236220472440944,0.5362903225806451,0.5298804780876494,0.8771150565403534
0.9,0.2235294117647059,smote,22264,2478,0.10015358499717081,8.984665052461663,26716,0.5,0.5,0.8500000000000001,0.5475409836065573,0.5655314757481941,0.8908870478884623,0.7969375937207972,0.46935933147632314,0.6794354838709677,0.5551894563426688,0.8470390566707476,0.9131137603556274,0.7483757325615932,0.5699152542372882,0.5423387096774194,0.5557851239669421,0.8470390566707476
0.95,0.3106796116504854,baseline,23501,1241,0.050157626707622666,18.937147461724415,14844,0.05018862840204796,0.5,0.55,0.5574572127139364,0.5580246913580247,0.9569610022226712,0.6813310997660073,0.6158940397350994,0.375,0.46616541353383456,0.7903483129876279,0.9573651242675288,0.6739047457301466,0.6312056737588653,0.3588709677419355,0.45758354755784064,0.7903483129876279
