account,post_id,viral,cluster
webstories.agency,2390882650245778457,0,0
webstories.agency,2390157282043773450,0,0
webspider_techi,2642998703218100623,0,0
webspider_techi,2639371817034386829,0,0
webspider_techi,2638665033594185478,0,0
webspider_techi,2615260479345598950,0,1
webspider_techi,2607476126964227171,0,0
webspider_techi,2606054019956941105,0,0
webspider_techi,2605313741650360370,0,0
webspider_techi,2603894346914788713,0,0
webspider_techi,2602202792600948182,0,0
webspider_techi,2600787208868929537,0,1
webspider_techi,2597107115382628542,1,1
webspider_techi,2595719171140676366,0,0
webiqarnhem,2554746859585079467,0,0
webiqarnhem,2533011701790248530,0,0
webiqarnhem,2513123664893639970,0,0
webiqarnhem,2506863935179510862,0,0
webiqarnhem,2390703006227046745,0,0
webiqarnhem,2167655523986201401,0,1
webiqarnhem,2161168136284359278,0,0
webiqarnhem,2132267684170823576,0,0
webiqarnhem,2132235591193642132,0,0
webiqarnhem,2131514774398755548,0,0
webiqarnhem,2130703274578886303,0,0
webiqarnhem,2086540138125016637,0,0
webepower,2656545619402071274,0,0
webepower,2652235808061723361,0,0
webepower,2652193092029959944,0,0
webepower,2649296691501770279,0,0
webepower,2647849679866682982,0,0
webepower,2646421453143365588,0,0
webepower,2645714834598010417,0,0
webepower,2644413924242838403,0,0
webepower,2643510724446910852,0,0
webepower,2640590662542991475,0,0
webepower,2636996695406491737,0,0
webepower,2632620784225761088,0,0
webdatamining,2630669088434122735,0,0
webdatamining,2626911217692558920,0,1
webdatamining,2625478666750988327,0,0
webdatamining,2615304970526708987,0,0
webdatamining,2615303380835131305,0,0
webdatamining,2615301701016271484,0,0
webdatamining,2612689431367072740,0,0
webdatamining,2612688963761002271,0,0
webdatamining,2610579710707442136,0,1
webdatamining,2598108316073504241,0,0
webdatamining,2598105849193617555,0,0
webdatamining,2596525988355689351,0,1
wearepirple,2610336698406565542,0,0
wearepirple,2610215383833366442,0,0
wearepirple,2610095158454345555,0,0
wearepirple,2609974447820691120,0,0
wearepirple,2609852989996051419,0,0
wearepirple,2609732778995420992,0,0
wearepirple,2609612123339260587,0,0
wearepirple,2609493054612851297,0,0
wearepirple,2608765831069098804,0,0
wearepirple,2608645553220838794,0,0
wearepirple,2608524814376635446,0,0
wearepirple,2608403440627462848,0,0
we3academy,2659417961459065438,0,0
we3academy,2618191939615067472,0,0
we3academy,2607241539600842138,0,0
we3academy,2605962974016299479,0,0
we3academy,2603620089975473257,0,0
we3academy,2603077121308736851,0,0
we3academy,2597852047874112962,0,0
we3academy,2596399867228365139,0,0
we3academy,2592292909541816572,0,0
we3academy,2588427296856473784,0,0
we3academy,2586225294965631399,0,0
we3academy,2582598911387336396,0,0
vikingcodeblog,2606138240803102468,0,1
vikingcodeblog,2596815028497727582,0,0
